rank,error_id,location,trigger,current_copy,user_risk,proposed_replacement,implementation_status,verification_result
85,ERR-085,src/projectforge/cli.py:_load_replay_conventions,`_load_replay_conventions` cannot find required project data or configuration.,No conventions snapshot found. Using current bundled conventions for stack '{value}'. / No conventions snapshot found. Using current conventions.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","No saved convention snapshot was found. Forge will use current conventions, so replay results may differ.",implemented,full suite passed: 579 tests; ruff passed
86,ERR-086,src/projectforge/cli.py:_load_replay_conventions,The user-visible warning or error branch in `_load_replay_conventions` is reached.,Unknown stack '{value}' in replay manifest; falling back to current bundled conventions.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The recorded project type is no longer available. Use the original Forge version to replay it, or scaffold a new target.",implemented,full suite passed: 579 tests; ruff passed
87,ERR-087,src/projectforge/cli.py:replay,The user-visible warning or error branch in `replay` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
88,ERR-088,src/projectforge/cli.py:stats,`stats` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read the saved scaffold history. Check that Forge's data folder is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
89,ERR-089,src/projectforge/cli.py:stats,The user-visible warning or error branch in `stats` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not repair the saved scaffold history. Check that Forge's data folder is readable and writable, then retry.",implemented,full suite passed: 579 tests; ruff passed
90,ERR-090,src/projectforge/config.py:_check_antigravity_status,The user-visible warning or error branch in `_check_antigravity_status` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not confirm that this tool is ready.,implemented,full suite passed: 579 tests; ruff passed
91,ERR-091,src/projectforge/config.py:_check_antigravity_status,`_check_antigravity_status` skips work because a prerequisite is unavailable.,"Antigravity is installed, but Forge could not run its version check.","The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not run this tool's version check.,implemented,full suite passed: 579 tests; ruff passed
92,ERR-092,src/projectforge/config.py:_check_antigravity_status,The user-visible warning or error branch in `_check_antigravity_status` is reached.,Antigravity is installed; its sign-in state could not be confirmed.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This tool is installed but needs sign-in.,implemented,full suite passed: 579 tests; ruff passed
93,ERR-093,src/projectforge/config.py:_check_antigravity_status,`_check_antigravity_status` exceeds its execution time limit.,Antigravity is installed; its sign-in check timed out.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This tool's sign-in check took too long.,implemented,full suite passed: 579 tests; ruff passed
94,ERR-094,src/projectforge/config.py:_check_claude_status,The user-visible warning or error branch in `_check_claude_status` is reached.,Claude is installed; login state could not be confirmed.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not confirm that this tool is ready.,implemented,full suite passed: 579 tests; ruff passed
95,ERR-095,src/projectforge/config.py:_check_claude_status,`_check_claude_status` skips work because a prerequisite is unavailable.,Could not verify Claude login status.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not run this tool's sign-in check.,implemented,full suite passed: 579 tests; ruff passed
96,ERR-096,src/projectforge/config.py:_check_claude_status,The user-visible warning or error branch in `_check_claude_status` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This tool is installed but needs sign-in.,implemented,full suite passed: 579 tests; ruff passed
97,ERR-097,src/projectforge/config.py:_check_codex_status,The user-visible warning or error branch in `_check_codex_status` is reached.,Codex is installed; login state could not be confirmed.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not confirm that this tool is ready.,implemented,full suite passed: 579 tests; ruff passed
98,ERR-098,src/projectforge/config.py:_check_codex_status,`_check_codex_status` skips work because a prerequisite is unavailable.,Could not verify Codex login status.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not run this tool's sign-in check.,implemented,full suite passed: 579 tests; ruff passed
99,ERR-099,src/projectforge/config.py:_check_codex_status,The user-visible warning or error branch in `_check_codex_status` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This tool is installed but needs sign-in.,implemented,full suite passed: 579 tests; ruff passed
100,ERR-100,src/projectforge/config.py:status_label,The user-visible warning or error branch in `status_label` is reached.,Needs login,Low: the existing message already uses plain language and a recovery step.,Needs login,unchanged_clear,full suite passed: 579 tests; ruff passed
101,ERR-101,src/projectforge/convention_admin.py:_resolve_record,The user-visible warning or error branch in `_resolve_record` is reached.,Global conventions are not configured.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find the global convention record. Reinstall Forge or restore its bundled conventions, then validate again.",implemented,full suite passed: 579 tests; ruff passed
102,ERR-102,src/projectforge/convention_models.py:record,The user-visible warning or error branch in `record` is reached.,Unknown convention record: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the requested conventions. Run `forge conventions validate`, then restore or fix the convention files.",implemented,full suite passed: 579 tests; ruff passed
103,ERR-103,src/projectforge/convention_models.py:source,The user-visible warning or error branch in `source` is reached.,Unknown convention source: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the requested conventions. Run `forge conventions validate`, then restore or fix the convention files.",implemented,full suite passed: 579 tests; ruff passed
104,ERR-104,src/projectforge/convention_profiles.py:import_profile,`import_profile` cannot read or write the required local file.,Could not read convention source: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read that Markdown file. Check that it exists and is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
105,ERR-105,src/projectforge/convention_registry.py:_discover_records,The user-visible warning or error branch in `_discover_records` is reached.,Convention record {value} has an invalid markdown file entry.,Low: the existing message already uses plain language and a recovery step.,Convention record {value} has an invalid markdown file entry.,unchanged_clear,full suite passed: 579 tests; ruff passed
106,ERR-106,src/projectforge/convention_registry.py:_discover_records,The user-visible warning or error branch in `_discover_records` is reached.,Convention record {value} has invalid inherits metadata.,Low: the existing message already uses plain language and a recovery step.,Convention record {value} has invalid inherits metadata.,unchanged_clear,full suite passed: 579 tests; ruff passed
107,ERR-107,src/projectforge/convention_registry.py:_discover_records,The user-visible warning or error branch in `_discover_records` is reached.,Convention record {value} has invalid markdown_files metadata.,Low: the existing message already uses plain language and a recovery step.,Convention record {value} has invalid markdown_files metadata.,unchanged_clear,full suite passed: 579 tests; ruff passed
108,ERR-108,src/projectforge/convention_registry.py:_manifest_source_ids,The user-visible warning or error branch in `_manifest_source_ids` is reached.,Bundle manifest {value} has an invalid file entry.,Low: the existing message already uses plain language and a recovery step.,Bundle manifest {value} has an invalid file entry.,unchanged_clear,full suite passed: 579 tests; ruff passed
109,ERR-109,src/projectforge/convention_registry.py:_manifest_source_ids,The user-visible warning or error branch in `_manifest_source_ids` is reached.,Bundle manifest {value} references unknown source {value}.,Low: the existing message already uses plain language and a recovery step.,Bundle manifest {value} references unknown source {value}.,unchanged_clear,full suite passed: 579 tests; ruff passed
110,ERR-110,src/projectforge/convention_registry.py:_normalize_inherit_id,The user-visible warning or error branch in `_normalize_inherit_id` is reached.,Invalid inherited convention id: {value},Low: the existing message already uses plain language and a recovery step.,Invalid inherited convention id: {value},unchanged_clear,full suite passed: 579 tests; ruff passed
111,ERR-111,src/projectforge/convention_registry.py:_validate_bundle_manifests,The user-visible warning or error branch in `_validate_bundle_manifests` is reached.,Bundle manifests define invalid stack_overrides metadata.,Low: the existing message already uses plain language and a recovery step.,Bundle manifests define invalid stack_overrides metadata.,unchanged_clear,full suite passed: 579 tests; ruff passed
112,ERR-112,src/projectforge/convention_registry.py:_validate_references,The user-visible warning or error branch in `_validate_references` is reached.,Convention record {value} inherits unknown record {value}.,Low: the existing message already uses plain language and a recovery step.,Convention record {value} inherits unknown record {value}.,unchanged_clear,full suite passed: 579 tests; ruff passed
113,ERR-113,src/projectforge/conventions.py:_display_path,The user-visible warning or error branch in `_display_path` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
114,ERR-114,src/projectforge/design_templates.py:load_design_template,The user-visible warning or error branch in `load_design_template` is reached.,Design template '{value}' is configured but its file could not be found.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find the selected design template, so it will continue without template guidance. Restore the template file or choose another template.",implemented,full suite passed: 579 tests; ruff passed
115,ERR-115,src/projectforge/design_templates.py:load_design_template,The user-visible warning or error branch in `load_design_template` is reached.,Unknown design template '{value}' — skipping template guidance.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load that design template, so it will continue without template guidance. Choose a listed template to include design rules.",implemented,full suite passed: 579 tests; ruff passed
116,ERR-116,src/projectforge/design_templates.py:load_design_template,`load_design_template` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read the selected design template, so it will continue without template guidance. Check that the file is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
117,ERR-117,src/projectforge/doctor.py:_provider_check,The user-visible warning or error branch in `_provider_check` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not find this tool on your system.,implemented,full suite passed: 579 tests; ruff passed
118,ERR-118,src/projectforge/doctor.py:_provider_check,The user-visible warning or error branch in `_provider_check` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",The readiness check could not confirm sign-in.,implemented,full suite passed: 579 tests; ruff passed
119,ERR-119,src/projectforge/execution_policy.py:validate_approval_mode,`validate_approval_mode` receives an unavailable or unsupported choice.,unknown approval mode {value}; choose from: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","That approval mode is not available. Choose `safe`, `plan`, or `unsafe`.",implemented,full suite passed: 579 tests; ruff passed
120,ERR-120,src/projectforge/execution_state.py:_atomic_write,`_atomic_write` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not save resume information. Keep the partial project, make the project folder writable, then retry.",implemented,full suite passed: 579 tests; ruff passed
121,ERR-121,src/projectforge/execution_state.py:initialize_progress,The user-visible warning or error branch in `initialize_progress` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find a resumable run in this project. Return to the original partial project, or start a new project without `--resume`.",implemented,full suite passed: 579 tests; ruff passed
122,ERR-122,src/projectforge/execution_state.py:mark_phase,The user-visible warning or error branch in `mark_phase` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not match this step to the saved run. Keep the partial project and start a new target.,implemented,full suite passed: 579 tests; ruff passed
123,ERR-123,src/projectforge/execution_state.py:mark_phase,`mark_phase` receives an unavailable or unsupported choice.,Unsupported phase status: {value},Low: the existing message already uses plain language and a recovery step.,Unsupported phase status: {value},unchanged_clear,full suite passed: 579 tests; ruff passed
124,ERR-124,src/projectforge/media_assets.py:copy_assets,The user-visible warning or error branch in `copy_assets` is reached.,Skipped {value} ({value} exceeds {value} limit),"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not copy `{value}`. Check that the source is readable and the project folder is writable, then retry.",implemented,full suite passed: 579 tests; ruff passed
125,ERR-125,src/projectforge/media_assets.py:copy_assets,`copy_assets` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not create the media folder. Check that the project folder is writable, then copy the media again.",implemented,full suite passed: 579 tests; ruff passed
126,ERR-126,src/projectforge/media_assets.py:copy_assets,`copy_assets` skips work because a prerequisite is unavailable.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge skipped `{value}` because it is larger than {value}. Compress it or choose a smaller file, then retry.",implemented,full suite passed: 579 tests; ruff passed
127,ERR-127,src/projectforge/orchestrator.py:_get_plan,`_get_plan` cannot read or write the required local file.,Planning failed — falling back to standard mode ({value}s),"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not create a task plan, so it will continue with the standard workflow.",implemented,full suite passed: 579 tests; ruff passed
128,ERR-128,src/projectforge/orchestrator.py:map_progress_to_activity,`map_progress_to_activity` exits before completing successfully.,{value}: Failed — {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",A planned task stopped before it finished. Forge will preserve completed work.,implemented,full suite passed: 579 tests; ruff passed
129,ERR-129,src/projectforge/prompts.py:_ask_project_basics,The user-visible warning or error branch in `_ask_project_basics` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Docker is not installed, so Forge will skip container setup. Install Docker and restart Forge to configure it now.",implemented,full suite passed: 579 tests; ruff passed
130,ERR-130,src/projectforge/prompts.py:_stack_label,The user-visible warning or error branch in `_stack_label` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
131,ERR-131,src/projectforge/runner.py:ensure_git_init,The user-visible warning or error branch in `ensure_git_init` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not start version control. Run `git init` in the project folder, then create the first commit manually.",implemented,full suite passed: 579 tests; ruff passed
132,ERR-132,src/projectforge/runner.py:ensure_git_init,`ensure_git_init` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Git is not installed, so Forge could not create the first commit. Install Git, then initialize and commit the project manually.",implemented,full suite passed: 579 tests; ruff passed
133,ERR-133,src/projectforge/runner.py:open_in_editor,The user-visible warning or error branch in `open_in_editor` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not open an editor. Open the project manually, or rerun `forge --setup` to choose an available editor.",implemented,full suite passed: 579 tests; ruff passed
134,ERR-134,src/projectforge/runner.py:run_ai and run_ai_parallel,"An AI tool emits an error, stack trace, path, or identifier during live execution.",Raw sanitized tool line in the loader or verbose phase output.,"High: raw output can reveal provider names, stack traces, paths, and identifiers.",Map output to bounded Forge activity summaries; retain raw text only for classification.,implemented,full suite passed: 579 tests; ruff passed
135,ERR-135,src/projectforge/runner.py:run_post_scaffold_hook,A user hook exits after writing to standard output or standard error.,Raw hook output followed by a failure status.,"High: hook output can contain secrets, paths, or internal details.",Hide both streams on failure and show the recovery-safe hook message only.,implemented,full suite passed: 579 tests; ruff passed
136,ERR-136,src/projectforge/runner.py:run_post_scaffold_hook,`run_post_scaffold_hook` exceeds its execution time limit.,Post-scaffold hook timed out (60s limit).,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The post-scaffold hook took too long and was stopped. Review it locally, then run it again from the project folder.",implemented,full suite passed: 579 tests; ruff passed
137,ERR-137,src/projectforge/setup.py:_normalize_forge_config,The user-visible warning or error branch in `_normalize_forge_config` is reached.,invalid value type for config key: {value},Low: the existing message already uses plain language and a recovery step.,invalid value type for config key: {value},unchanged_clear,full suite passed: 579 tests; ruff passed
138,ERR-138,src/projectforge/setup.py:_normalize_forge_config,`_normalize_forge_config` receives an unavailable or unsupported choice.,unsupported config key: {value},Low: the existing message already uses plain language and a recovery step.,unsupported config key: {value},unchanged_clear,full suite passed: 579 tests; ruff passed
139,ERR-139,src/projectforge/setup.py:_normalize_forge_config,`_normalize_forge_config` receives an unavailable or unsupported choice.,unsupported config version: {value},Low: the existing message already uses plain language and a recovery step.,unsupported config version: {value},unchanged_clear,full suite passed: 579 tests; ruff passed
140,ERR-140,src/projectforge/setup.py:load_forge_config,`load_forge_config` cannot read or write the required local file.,The original could not be moved; it was left unchanged.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not read your saved settings. It kept a recovery copy when possible. Run `forge --setup` to create fresh settings.,implemented,full suite passed: 579 tests; ruff passed
141,ERR-141,src/projectforge/setup.py:_choose_preferred_editor,The user-visible warning or error branch in `_choose_preferred_editor` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find a supported editor. Open projects manually, or install one and rerun `forge --setup`.",implemented,full suite passed: 580 tests; ruff passed
142,ERR-142,src/projectforge/verify.py:_check_health,The user-visible warning or error branch in `_check_health` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not complete the health check. Run the recorded start command locally and confirm the configured address responds.,implemented,full suite passed: 579 tests; ruff passed
143,ERR-143,src/projectforge/verify.py:_check_health,`_check_health` exits before completing successfully.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",The app stopped before the health check could connect. Run the recorded start command locally and review its output.,implemented,full suite passed: 579 tests; ruff passed
144,ERR-144,src/projectforge/verify.py:_install_deps,The user-visible warning or error branch in `_install_deps` is reached.,unknown stack: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge cannot verify this project type. Check the recorded stack, or scaffold a new target with a supported stack.",implemented,full suite passed: 579 tests; ruff passed
145,ERR-145,src/projectforge/verify.py:_install_deps,The user-visible warning or error branch in `_install_deps` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge does not know how to install this project's dependencies. Install them with the project's documented command, then rerun its checks.",implemented,full suite passed: 579 tests; ruff passed
146,ERR-146,src/projectforge/verify.py:_run_check,`_run_check` exceeds its execution time limit.,timed out after {value}s Run `{value}` manually or increase the verification timeout.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This check took too long and was stopped. Run `{value}` from the project folder to inspect it locally.,implemented,full suite passed: 579 tests; ruff passed
147,ERR-147,src/projectforge/verify.py:verify_scaffold,The user-visible warning or error branch in `verify_scaffold` is reached.,unknown stack: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge cannot verify this project type. Check the recorded stack, or scaffold a new target with a supported stack.",implemented,full suite passed: 579 tests; ruff passed
148,ERR-148,src/projectforge/verify.py:verify_scaffold,`verify_scaffold` exits before completing successfully.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Not run because dependency installation did not finish. Fix the install step, then rerun the remaining checks.",implemented,full suite passed: 579 tests; ruff passed
149,ERR-149,src/projectforge/checks.py:_check_dir_exists,`_check_dir_exists` cannot find required project data or configuration.,Missing {value}/ directory,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",{value}/ is missing. Run `forge check --fix` to create it.,implemented,full suite passed: 579 tests; ruff passed
150,ERR-150,src/projectforge/checks.py:_check_docker_healthcheck,The user-visible warning or error branch in `_check_docker_healthcheck` is reached.,Dockerfile missing HEALTHCHECK directive,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Dockerfile has no HEALTHCHECK. Add one that verifies the app is ready to serve traffic.,implemented,full suite passed: 579 tests; ruff passed
151,ERR-151,src/projectforge/checks.py:_check_file_exists,`_check_file_exists` cannot find required project data or configuration.,Missing {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",{value} is missing. Run `forge check --fix` to add it.,implemented,full suite passed: 579 tests; ruff passed
152,ERR-152,src/projectforge/checks.py:_check_pre_commit,`_check_pre_commit` cannot find required project data or configuration.,Missing .pre-commit-config.yaml,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",.pre-commit-config.yaml is missing. Add the repository's pre-commit checks.,implemented,full suite passed: 579 tests; ruff passed
153,ERR-153,src/projectforge/cli.py:conventions_edit,The user-visible warning or error branch in `conventions_edit` is reached.,Convention profile not found: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find that convention profile. Run `forge conventions list`, or create it with `forge conventions init NAME`.",implemented,full suite passed: 579 tests; ruff passed
154,ERR-154,src/projectforge/cli.py:conventions_select,The user-visible warning or error branch in `conventions_select` is reached.,Convention profile not found: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find that convention profile. Run `forge conventions list`, or create it with `forge conventions init NAME`.",implemented,full suite passed: 579 tests; ruff passed
155,ERR-155,src/projectforge/config.py:status_label,`status_label` cannot find required project data or configuration.,Not found,Low: the existing message already uses plain language and a recovery step.,Not found,unchanged_clear,full suite passed: 579 tests; ruff passed
156,ERR-156,src/projectforge/convention_admin.py:resolve_open_path,The user-visible warning or error branch in `resolve_open_path` is reached.,Convention markdown file not found: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not find that convention file. Run `forge admin conventions --browse` and choose an existing file.,implemented,full suite passed: 579 tests; ruff passed
157,ERR-157,src/projectforge/convention_compiler.py:_all_sources_bundle,`_all_sources_bundle` finds missing or insufficient guidance content.,Conventions bundle is empty.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The active conventions are empty, so the scaffold will have no organization guidance. Add convention content, then validate again.",implemented,full suite passed: 579 tests; ruff passed
158,ERR-158,src/projectforge/convention_compiler.py:_all_sources_bundle,`_all_sources_bundle` finds missing or insufficient guidance content.,Conventions bundle is very short — consider adding more detail.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",The active conventions are very short. Add the essential project rules before scaffolding.,implemented,full suite passed: 579 tests; ruff passed
159,ERR-159,src/projectforge/convention_compiler.py:compile_bundle,`compile_bundle` finds missing or insufficient guidance content.,Conventions bundle is empty.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The active conventions are empty, so the scaffold will have no organization guidance. Add convention content, then validate again.",implemented,full suite passed: 579 tests; ruff passed
160,ERR-160,src/projectforge/convention_compiler.py:compile_bundle,`compile_bundle` finds missing or insufficient guidance content.,Conventions bundle is very short — consider adding more detail.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",The active conventions are very short. Add the essential project rules before scaffolding.,implemented,full suite passed: 579 tests; ruff passed
161,ERR-161,src/projectforge/convention_registry.py:_discover_records,`_discover_records` cannot find required project data or configuration.,Convention record {value} references missing markdown file {value}.,Low: the existing message already uses plain language and a recovery step.,Convention record {value} references missing markdown file {value}.,unchanged_clear,full suite passed: 579 tests; ruff passed
162,ERR-162,src/projectforge/convention_registry.py:_validate_bundle_manifests,`_validate_bundle_manifests` cannot find required project data or configuration.,Bundle manifest default is missing required source {value}.md.,Low: the existing message already uses plain language and a recovery step.,Bundle manifest default is missing required source {value}.md.,unchanged_clear,full suite passed: 579 tests; ruff passed
163,ERR-163,src/projectforge/convention_registry.py:_validate_bundle_manifests,`_validate_bundle_manifests` cannot find required project data or configuration.,Bundle manifest for stack {value} is missing required source {value}.md.,Low: the existing message already uses plain language and a recovery step.,Bundle manifest for stack {value} is missing required source {value}.md.,unchanged_clear,full suite passed: 579 tests; ruff passed
164,ERR-164,src/projectforge/convention_registry.py:_validate_bundle_manifests,`_validate_bundle_manifests` cannot find required project data or configuration.,Bundle manifests reference missing stack layer {value}.,Low: the existing message already uses plain language and a recovery step.,Bundle manifests reference missing stack layer {value}.,unchanged_clear,full suite passed: 579 tests; ruff passed
165,ERR-165,src/projectforge/conventions.py:_load_conventions_file,`_load_conventions_file` finds missing or insufficient guidance content.,Conventions file is empty — scaffolds will lack guidance.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","This convention file is empty, so it will not guide the scaffold. Add project rules or remove the empty layer.",implemented,full suite passed: 579 tests; ruff passed
166,ERR-166,src/projectforge/conventions.py:_load_conventions_file,`_load_conventions_file` finds missing or insufficient guidance content.,Conventions file is very short — consider adding more detail.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","This convention file is very short. Add the essential rules, or remove the layer if it is not needed.",implemented,full suite passed: 579 tests; ruff passed
167,ERR-167,src/projectforge/design_templates.py:load_design_template,`load_design_template` finds missing or insufficient guidance content.,Design template file is empty — frontend scaffolds will ignore it.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The selected design template is empty, so it will not guide the scaffold. Add design rules or choose another template.",implemented,full suite passed: 579 tests; ruff passed
168,ERR-168,src/projectforge/design_templates.py:load_design_template,`load_design_template` finds missing or insufficient guidance content.,Design template file is very short — consider adding more detail.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",The selected design template is very short. Add the essential visual rules before scaffolding.,implemented,full suite passed: 579 tests; ruff passed
